objectid,c_mun_via,via_loc,nombre_calle,nombre_municipio
59,2200900450,Calle Iglesia   (Camporrotuno),Calle Iglesia,Camporrotuno
99999,5090099999,Bulevar Corredor Verde (Zaragoza),Bulevar Corredor Verde,Zaragoza
224,2200900310,Calle A   (Guaso),Calle A,Guaso
225,2200900311,Calle B   (Guaso),Calle B,Guaso
2,2200100003,Calle Alta   (Abiego),Calle Alta,Abiego
4,2200100005,Calle La Fuente   (Abiego),Calle La Fuente,Abiego
34977,5090002279,Paseo San José María de Balaguer   (Zaragoza),Paseo San José María de Balaguer,Zaragoza
34976,5090000175,Calle Capitán Esponera   (Zaragoza),Calle Capitán Esponera,Zaragoza
32446,5090000175,Calle Elvira de Hidalgo   (Zaragoza),Calle Elvira de Hidalgo,Zaragoza
67,2200920003,Carretera HUV-3611   (Aínsa),Carretera HUV-3611,Aínsa
219,2200900305,Calle de la Iglesia   (La Torrecilla),Calle de la Iglesia,La Torrecilla
1036,2202700215,Calle El Dragon   (San Jorge),Calle El Dragon,San Jorge
7,2200100013,Plaza Mayor   (Abiego),Plaza Mayor,Abiego
10,2200100019,Plaza del Vall   (Abiego),Plaza del Vall,Abiego
11,2200100022,Calle Mara   (Alberuela de La Liena),Calle Mara,Alberuela de La Liena
14,2200100026,Calle Paralela a San Joaquín   (Abiego),Calle Paralela a San Joaquín,Abiego
15,2200100027,Calle Calvario   (Abiego),Calle Calvario,Abiego
16,2200100030,Plaza Iglesia   (Abiego),Plaza Iglesia,Abiego
17,2200100035,Calle Los   (Alberuela de La Liena),Calle Los,Alberuela de La Liena
19,2200100046,Calle San Nicolás   (Abiego),Calle San Nicolás,Abiego
21,2200100049,Calle Femamuro Baja   (Abiego),Calle Femamuro Baja,Abiego
22,2200100050,"Camino ""A""   (Abiego)","Camino ""A""",Abiego
23,2200100051,"Camino ""B"" Abiego   (Abiego)","Camino ""B"" Abiego",Abiego
24,2200100054,Calle Graniello   (Abiego),Calle Graniello,Abiego
26,2200100057,Calle Travesía   (Abiego),Calle Travesía,Abiego
28,2200100059,Calle José Porta Conte   (Abiego),Calle José Porta Conte,Abiego
30,2200100062,Camino Barranque   (Abiego),Camino Barranque,Abiego
31,2200100063,Camino Las Eras   (Abiego),Camino Las Eras,Abiego
32,2200100066,Camino Mara   (Alberuela de La Liena),Camino Mara,Alberuela de La Liena
1,2200100002,Calle del Aire   (Abiego),Calle del Aire,Abiego
3,2200100004,Calle Baja   (Abiego),Calle Baja,Abiego
9,2200100018,Calle Torno   (Abiego),Calle Torno,Abiego
51,2200200029,Calle Única   (Ligüerre de Cinca),Calle Única,Ligüerre de Cinca
58,2200900449,Calle de los Campos   (Paúles de Sarsa),Calle de los Campos,Paúles de Sarsa
291,2200900404,Camino Eras   (Castejón de Sobrarbe),Camino Eras,Castejón de Sobrarbe
62,2200900460,Calle Valle de Chistau   (Ainsa Sobrarbe),Calle Valle de Chistau,Ainsa Sobrarbe
